city,year,date,time,no2,pm10,pm25,datetime
Leeds,2017,09-11-2017,16:00:00,2.508233677,2.751281441,15.93679135,2017-11-09T16:00:00Z
Leeds,2017,09-11-2017,17:00:00,7.13332471,38.77992729,21.53713337,2017-11-09T17:00:00Z
Leeds,2017,09-11-2017,18:00:00,0,5.274075981,8.807132815,2017-11-09T18:00:00Z
Leeds,2017,09-11-2017,19:00:00,0,19.81942588,14.1518959,2017-11-09T19:00:00Z
Leeds,2017,09-11-2017,20:00:00,12.42963876,28.39930248,12.16903318,2017-11-09T20:00:00Z
Leeds,2017,09-11-2017,21:00:00,8.262896837,0,0,2017-11-09T21:00:00Z
Leeds,2017,09-11-2017,22:00:00,8.132025779,4.220934917,5.140811014,2017-11-09T22:00:00Z
Leeds,2017,09-11-2017,23:00:00,16.35406081,43.48365169,28.28921989,2017-11-09T23:00:00Z
Leeds,2017,10-11-2017,00:00:00,13.92091373,17.93828252,19.08194023,2017-11-10T00:00:00Z
Leeds,2017,10-11-2017,01:00:00,2.181641235,58.40395132,26.4652505,2017-11-10T01:00:00Z
Leeds,2017,10-11-2017,02:00:00,19.02210787,34.06534638,21.65121591,2017-11-10T02:00:00Z
Leeds,2017,10-11-2017,03:00:00,8.992867957,12.89745939,10.91435694,2017-11-10T03:00:00Z
Leeds,2017,10-11-2017,04:00:00,9.840840227,3.162913345,16.89432595,2017-11-10T04:00:00Z
Leeds,2017,10-11-2017,05:00:00,9.926322697,69.03618009,30.23088325,2017-11-10T05:00:00Z
Leeds,2017,10-11-2017,06:00:00,16.85166841,0,0,2017-11-10T06:00:00Z
Leeds,2017,10-11-2017,07:00:00,1.166871131,3.658973798,4.988848626,2017-11-10T07:00:00Z
Leeds,2017,10-11-2017,08:00:00,14.52165161,8.053684174,15.37039097,2017-11-10T08:00:00Z
Leeds,2017,10-11-2017,09:00:00,5.90767193,32.00556594,16.18955598,2017-11-10T09:00:00Z
Leeds,2017,10-11-2017,10:00:00,10.92972993,26.41956573,6.805328445,2017-11-10T10:00:00Z
Leeds,2017,10-11-2017,11:00:00,12.99481956,7.836128872,16.14998894,2017-11-10T11:00:00Z
Leeds,2017,10-11-2017,12:00:00,0,16.59592518,7.260334112,2017-11-10T12:00:00Z
Leeds,2017,10-11-2017,13:00:00,7.745014072,35.41331701,17.51548102,2017-11-10T13:00:00Z
Leeds,2017,10-11-2017,14:00:00,0,0,12.49055102,2017-11-10T14:00:00Z
Leeds,2017,10-11-2017,15:00:00,12.61100227,46.06039849,21.08036049,2017-11-10T15:00:00Z
Leeds,2017,10-11-2017,16:00:00,9.8131732800000009,4.079765113,0,2017-11-10T16:00:00Z
Leeds,2017,10-11-2017,17:00:00,13.66676138,28.5535689,21.18160168,2017-11-10T17:00:00Z
Leeds,2017,10-11-2017,18:00:00,6.22764915,17.65552068,26.97132965,2017-11-10T18:00:00Z
Leeds,2017,10-11-2017,19:00:00,8.66683541,22.84201487,14.79639646,2017-11-10T19:00:00Z
Leeds,2017,10-11-2017,20:00:00,3.821079124,13.62565858,3.75316938,2017-11-10T20:00:00Z
Leeds,2017,10-11-2017,21:00:00,36.58485969,44.6245871,32.58112231,2017-11-10T21:00:00Z
Leeds,2017,10-11-2017,22:00:00,16.63172248,21.06026001,14.2093175,2017-11-10T22:00:00Z
Leeds,2017,10-11-2017,23:00:00,8.996635553,18.48326691,9.496880628,2017-11-10T23:00:00Z
Leeds,2017,11-11-2017,00:00:00,45.23352,13.2,9.1,2017-11-11T00:00:00Z
Leeds,2017,11-11-2017,01:00:00,42.76672,14.3,7.5,2017-11-11T01:00:00Z
Leeds,2017,11-11-2017,02:00:00,35.16118,10.3,7.9,2017-11-11T02:00:00Z
